date,open,high,low,close,volume
2021-07-21,404.0781816791962,406.28392468057024,402.8351355573222,406.1437072753906,64724400
2021-07-22,406.3213579405747,407.23730633204167,405.3400070746696,406.9942932128906,47878500
2021-07-23,408.9196688873081,411.51794144372303,408.23740663856285,411.1814880371094,63766600
2021-07-26,410.5926462837905,412.20021236866125,410.5459261537889,412.19085693359375,43719200
2021-07-27,411.15341783224966,411.1814556139232,407.48965273178777,410.312255859375,67397100
2021-07-28,410.93845431834467,411.51792083805464,408.7233839343774,410.1440124511719,52472400
2021-07-29,411.0693007705477,412.91985138960683,411.05994533585215,411.84503173828125,47435300
2021-07-30,409.28412555399376,411.29357581662805,409.1532635675781,409.84490966796875,68951200
2021-08-02,411.55521940428144,412.10664801469085,408.6298211733792,408.9849853515625,58783300
2021-08-03,409.7795060797524,412.43385397257424,407.5924735593852,412.3123474121094,58053900
2021-08-04,411.0318422374195,412.28424381294224,410.0504915209961,410.2841491699219,46732200
2021-08-05,411.4431375086628,412.96659014888616,411.12536648595767,412.8824768066406,38969700
2021-08-06,413.2001756619763,413.9852619084817,412.9197693807994,413.5646667480469,46930000
2021-08-09,413.53671760242094,413.8544886377314,412.4618979342041,413.2283020019531,41222600
2021-08-10,413.6768175506631,414.45257688642795,412.99455549788365,413.74224853515625,43339300
2021-08-11,414.80783999492405,414.8639155599606,413.6862716488568,414.77044677734375,44034300
2021-08-12,414.6208676326382,416.1536756754447,413.7236301446858,416.0134582519531,38909400
2021-08-13,416.46218570837635,416.7893122329379,415.9761879010694,416.7706298828125,39470300
2021-08-16,415.47142121296486,417.8827560853764,413.91993068902,417.7519226074219,73740000
2021-08-17,415.2003672937734,415.87330259419554,412.03198379117543,415.0134582519531,92673900
2021-08-18,414.004033503329,415.5648794226537,410.2281457688839,410.47113037109375,89351900
2021-08-19,407.7513380397817,412.3030136509168,407.61114913490746,411.1066589355469,92812200
2021-08-20,411.45246811100355,414.70496457219946,410.96644191047403,414.3778381347656,72008700
2021-08-23,416.0602493564847,418.92957275106846,414.4526832434195,418.0229797363281,54973000
2021-08-24,418.6864929199219,419.2192392352231,418.17245747210313,418.6864929199219,38744700
2021-08-25,418.87350683269574,420.0791600532625,418.49963168684314,419.56512451171875,40529700
2021-08-26,419.2847386206746,419.51839633690446,416.994910115224,417.08837890625,57829600
2021-08-27,417.8921363097158,421.19138203158167,417.8360607411706,420.8175354003906,77235100
2021-08-30,421.49050776724243,423.4532384067289,421.2474946004219,422.66815185546875,48357400
2021-08-31,422.5746165039233,422.9110698917558,421.4437212534849,422.0418701171875,59300200
2021-09-01,422.9765334042328,423.4905689604895,422.03254712247315,422.2662048339844,48721400
2021-09-02,423.6867836507604,424.3690457877398,422.3689509787344,423.5652770996094,42501000
2021-09-03,422.4344228744772,423.9765579301553,422.0325099688313,423.4624938964844,47170500
2021-09-07,423.1167138270563,423.21018261431715,421.2754899564276,421.94842529296875,51671500
2021-09-08,421.4157048587594,422.14471575872943,419.51837690907405,421.43438720703125,56181900
2021-09-09,421.23805907529504,422.98581388405796,419.38748005990004,419.6304931640625,57970400
2021-09-10,421.55586791625456,421.97643464658915,416.2004233686548,416.3219299316406,89948200
2021-09-13,419.31281705012566,419.5745125589616,415.0789117278803,417.387451171875,83738600
2021-09-14,418.8267538323482,419.032373751366,414.24706856986353,415.1349792480469,78197100
2021-09-15,415.55554197274927,419.0978006931455,414.45268447355176,418.6024475097656,78792200
2021-09-16,418.0790622084627,419.05105771787464,414.99476341128366,417.9388732910156,77786700
2021-09-17,417.168134146106,417.59004823430996,413.51137369740354,413.86767578125,118425000
2021-09-20,407.7543373535724,409.32954038102963,402.10981691745377,406.96673583984375,166445500
2021-09-21,409.3015046670298,410.59543194937584,406.0573296672389,406.5823974609375,92526100
2021-09-22,408.85139337293356,412.5831513891095,406.6948671942367,410.5484924316406,102350100
2021-09-23,412.41431229246786,417.1399497351395,412.179906070705,415.5365905761719,76396000
2021-09-24,413.9051954031547,416.9337345501658,413.6895313452658,416.22113037109375,62094800
2021-09-27,415.1897452245322,416.35239112758217,414.33650299714867,415.0303649902344,61371100
2021-09-28,412.26433994291904,412.59251441684535,405.93537117136833,406.6667175292969,130436300
2021-09-29,408.045029638689,409.77964162679973,406.7886155612909,407.3511962890625,82329200
2021-09-30,408.82324196639286,409.5264607159928,402.03484612674845,402.3724060058594,140506000
2021-10-01,404.0976889255961,408.8326843876151,400.58159468725086,407.1543273925781,129240100
2021-10-04,405.9916570765266,406.89176913571015,399.76581284989487,401.90362548828125,128570000
2021-10-05,403.40370520546276,408.3262356545151,402.60674697637165,406.0853271484375,90682500
2021-10-06,402.49426854273986,407.97938044868795,400.8721956255004,407.7731018066406,113032200
2021-10-07,411.04549653422066,414.1302626252565,410.8673454695045,411.29864501953125,72437500
2021-10-08,412.0674690550003,412.45189876084635,409.9202996692927,410.5484924316406,74557400
2021-10-11,409.89216791478833,412.79881127574237,407.5105922896659,407.57623291015625,65233300
2021-10-12,408.4951467022772,408.89831863461245,405.78539638345933,406.572998046875,71181200
2021-10-13,407.5949901170963,408.85140428938456,404.62273464026305,408.0356750488281,72974000
2021-10-14,411.69235787459854,415.0490712799511,411.2235453911505,414.8990478515625,70236800
2021-10-15,417.0086416279291,418.4244642725793,416.389805808692,418.05877685546875,66260200
2021-10-18,416.27735526871015,419.6340400404351,415.621006350095,419.2965087890625,62213200
2021-10-19,420.9187166197971,422.5970451226729,420.3092373496492,422.53143310546875,46996800
2021-10-20,422.99082000892685,424.491025906163,422.87830957409244,424.19097900390625,49571600
2021-10-21,423.59087874148474,425.5223841474882,423.1595792098458,425.29736328125,41305400
2021-10-22,424.8659833060559,426.3099336904653,422.91570745443045,424.8565979003906,58845100
2021-10-25,425.9442668817109,427.4632147429343,424.17217058163135,427.1350402832031,45214500
2021-10-26,428.68214462677764,429.8916602272119,427.144425952367,427.51947021484375,56075100
2021-10-27,427.97890546543795,428.6446111455954,425.5504317463337,425.6254577636719,72438000
2021-10-28,427.05076838848055,429.80738878373296,427.04141159397324,429.7323913574219,51437900
2021-10-29,427.4350712129975,430.8949094853391,427.1444097745334,430.604248046875,70162400
2021-11-01,431.5887642564896,431.96383713747196,429.61977470154915,431.3450012207031,48433600
2021-11-02,431.51369487823035,433.3983299188752,431.3824136689737,433.0888977050781,48908400
2021-11-03,432.5264031559585,436.1362651463071,432.08571825925554,435.73309326171875,52509800
2021-11-04,436.3330110009658,437.8707292237688,435.9860944447086,437.7863464355469,52847100
2021-11-05,440.00863863956613,441.29318025230174,437.79585747597196,439.305419921875,66390600
2021-11-08,440.4024093790137,440.89934941159646,438.99597208520896,439.680419921875,50405200
2021-11-09,440.0461676231419,440.2805738708811,436.8207353651275,438.2271728515625,51149100
2021-11-10,436.5394889244419,438.22723130169896,433.22031661586044,434.7017517089844,69429700
2021-11-11,436.19252851233256,436.2675545379645,434.8236039920207,434.84234619140625,34848500
2021-11-12,436.1081657875227,438.67724930991125,435.16115531508916,438.1240539550781,53466700
2021-11-15,439.40859470618256,439.56797493267015,437.14891501750157,438.2740478515625,46980500
2021-11-16,438.0114907479462,441.14315465497026,437.9364933419403,440.0086364746094,48857500
2021-11-17,439.7461325975495,439.9242836397509,438.3209528739824,438.9397888183594,47858300
2021-11-18,439.9710863467691,440.69307581212365,437.25197993727926,440.4305419921875,50625600
2021-11-19,440.31806790988196,441.5651251990252,439.27731788187225,439.64300537109375,57315600
2021-11-22,441.5182563851529,444.0029569483632,438.19905582510415,438.40533447265625,72762000
2021-11-23,438.0771663973215,439.8399060268832,435.4799553727706,438.9866638183594,73206500
2021-11-24,436.9894233688114,440.2804956589333,436.1736943498332,440.1585998535156,61858800
2021-11-26,433.50149668510204,434.96418925297854,429.2165439866492,430.3417053222656,112669600
2021-11-29,435.12360436955294,437.45828126856935,432.9295654860119,435.62054443359375,86268800
2021-11-30,433.18280884176426,435.08618670574947,426.9007090428121,427.1445007324219,148559600
