date,open,high,low,close,volume
2021-07-21,267.65944319932055,270.1738442376785,266.1143453427813,270.0586853027344,24364300
2021-07-22,272.4003154535662,274.8763494100788,271.9972592293282,274.6076354980469,23384100
2021-07-23,275.78804130305343,278.30244201944714,274.9531098439966,277.995361328125,22768100
2021-07-26,277.3523564681326,278.01454955841905,275.08748623115633,277.40032958984375,23176100
2021-07-27,277.7649628522518,277.90891147588917,271.54614801020494,274.991455078125,33604100
2021-07-28,277.34276730213355,278.4560190983951,272.3907283274344,274.6844177246094,33566900
2021-07-29,274.703624957285,276.9877082127005,274.5500699423065,274.9531555175781,18168300
2021-07-30,273.67668502240946,275.10662354630284,272.4674579665658,273.4271545410156,20944800
2021-08-02,274.8187628216139,275.212242025892,272.30436188036447,273.3408508300781,16267400
2021-08-03,273.91662898110934,275.6536775635122,272.55384686025644,275.548095703125,17879000
2021-08-04,274.6844177660965,275.99919768889043,273.1776867693029,274.9627380371094,16191300
2021-08-05,275.31782556305,277.9569917907823,274.569263222689,277.8514099121094,13900200
2021-08-06,276.8820984514025,277.83218879233317,276.02795434835366,277.7937927246094,16589300
2021-08-09,278.0721635231256,279.79960614575214,276.2103492828426,276.7093811035156,16117600
2021-08-10,277.1603778240849,277.592253026987,273.70549335133626,274.8955078125,18616600
2021-08-11,275.63454156443856,277.02611380022,274.3389448772672,275.3850402832031,13955900
2021-08-12,275.0779013971637,278.283285228758,274.79958112166787,278.1297302246094,14561300
2021-08-13,277.8130673648045,281.09521434057825,277.640299665323,281.0472412109375,18249000
2021-08-16,281.37344781790824,282.9377579581513,278.33119671669976,282.72662353515625,22507600
2021-08-17,280.60574999790174,281.60381354222284,279.3485202964206,281.2679138183594,20075300
2021-08-18,280.80642126360254,283.47948483534077,279.1044871600753,279.54681396484375,21813000
2021-08-19,277.5851900644903,286.02745550252456,277.5371251128301,285.3543701171875,29850500
2021-08-20,288.1909333937579,294.0755159975354,286.5947836444188,292.6524353027344,40817600
2021-08-23,291.58510254818026,293.65239419132735,290.23896119987614,292.9312438964844,22830200
2021-08-24,293.2870454973741,293.892816520206,290.3832238228718,290.9793701171875,18175800
2021-08-25,292.59474421285233,292.8735972507259,288.86401745475416,290.3928527832031,20006100
2021-08-26,289.4120524153368,290.79666345082654,287.4505445681289,287.58514404296875,17666100
2021-08-27,287.4890486022759,289.29673726337023,285.4121315880625,288.19097900390625,22605700
2021-08-30,289.53711917376893,292.51788050210155,289.47942948011064,291.912109375,16348100
2021-08-31,292.71018783230056,292.78709763966935,289.9024956924805,290.26788330078125,26285300
2021-09-01,291.21976052803296,293.450526164361,289.89283908325706,290.2197570800781,18983800
2021-09-02,290.57551551059663,291.6908688555187,288.63319852540627,289.5658874511719,16285600
2021-09-03,289.41214289266503,290.96022807123313,288.71024177108217,289.556396484375,14747900
2021-09-07,289.4313599194175,289.5082697285104,286.7294517158089,288.6332702636719,17180400
2021-09-08,288.2486568040006,289.04671710020153,286.0275156464967,288.662109375,15046800
2021-09-09,289.2486932805111,290.5179253274323,285.57562599791714,285.8160095214844,19927000
2021-09-10,286.9410140892641,288.38331521441347,284.01794225939454,284.3352355957031,19633400
2021-09-13,286.1044357072228,287.0563743400453,282.7679114864811,285.56597900390625,23652900
2021-09-14,288.0371068920759,289.7967304480166,286.6332755453167,288.2582702636719,21853400
2021-09-15,291.5947969733447,293.57555457579934,290.2101857287975,293.09478759765625,28356300
2021-09-16,292.0755692493566,293.5659351711585,289.19096732817496,293.4794006347656,19550800
2021-09-17,292.46988092654055,292.78717431259884,288.00834799489826,288.33526611328125,41372500
2021-09-20,284.9313439067863,287.2294241436648,278.3833000222743,282.97943115234375,38278700
2021-09-21,284.3159844038209,286.09482813249366,282.7583040538949,283.460205078125,22364100
2021-09-22,285.3159733040297,288.6717173261203,283.18136680799097,287.09478759765625,26626300
2021-09-23,287.3544589280449,289.32559200827507,286.08522692976766,288.0371398925781,18604600
2021-09-24,286.7583221103223,288.26790832981595,285.5083101876047,287.8352355957031,14999000
2021-09-27,284.7486233260551,285.06591655736753,281.67170353978287,282.8544006347656,23571700
2021-09-28,278.6525374846611,279.59485135493725,271.87373461890644,272.6141052246094,43186200
2021-09-29,274.13340760514626,275.7391532943879,272.1238046387394,273.0757141113281,26353700
2021-09-30,274.71984547108286,276.7582926672313,270.78717529668586,271.0756530761719,32343600
2021-10-01,271.26800391748964,278.82567743402257,270.46994350123555,277.9795227050781,30086300
2021-10-04,276.3448992444517,276.68144205400307,269.4699361794418,272.21990966796875,31350700
2021-10-05,273.12371126636924,279.22945781834716,273.12371126636924,277.6525573730469,24993000
2021-10-06,274.7872335676707,282.3352826609883,274.52762990584176,281.83526611328125,28002600
2021-10-07,283.825594084445,285.22945482720434,282.6140812194665,283.50830078125,20430500
2021-10-08,284.82559764308587,285.22945482720434,282.46023226093035,283.50830078125,17685700
2021-10-11,281.65250240514854,286.5082365093531,281.4890287428217,282.912109375,19298600
2021-10-12,283.9794400643769,284.0755993304145,281.10446287508915,281.61407470703125,17974100
2021-10-13,283.5659677751689,285.8447984376841,282.20057671725624,284.912109375,23416300
2021-10-14,287.700592428169,291.6044182903468,286.3736707555064,291.10443115234375,27262900
2021-10-15,290.71023658361656,292.7390889350849,288.9602373568644,292.50830078125,25384800
2021-10-18,291.89281968974484,296.35432121688916,291.0466652595065,295.4697265625,22729300
2021-10-19,296.48903662007575,297.4024763811832,295.4024984250073,296.3736572265625,17682100
2021-10-20,297.3158933508054,297.78706492240235,294.3351323484767,295.58514404296875,16537100
2021-10-21,295.35446184191204,299.0563448955344,294.57559217346744,298.8063659667969,16918100
2021-10-22,298.46011490450775,299.1235756390308,295.960120910737,297.267822265625,17449300
2021-10-25,297.46019509805154,297.49866468087276,294.6717518892406,296.27752685546875,17554500
2021-10-26,299.03705370094167,300.3831953408259,296.7293781263278,298.1812744140625,28107300
2021-10-27,303.8447410132644,313.55624018654,303.8447410132644,310.73895263671875,52588700
2021-10-28,311.85437724483006,312.3736139341763,308.9986194689687,311.8736267089844,26297900
2021-10-29,311.6620115299265,319.2292792064878,311.44084815229064,318.8638916015625,34766000
2021-11-01,318.61388266615893,318.73888677742633,313.81583753903345,316.700439453125,27073200
2021-11-02,317.6043237502232,320.6235548856837,317.30625052903974,320.31585693359375,26487100
2021-11-03,321.0561844849301,322.01771844825345,317.9311991041292,321.15234375,21500100
2021-11-04,320.08507064099814,323.59466390839987,316.83508099254163,323.4985046386719,23992200
2021-11-05,325.4888877422965,325.75811609186775,321.556217155061,323.13311767578125,22570100
2021-11-08,324.3254169521455,324.661959731768,321.5754437081741,324.02734375,20897000
2021-11-09,324.1426973147689,325.69078224022303,321.6619526233949,323.02734375,21307400
2021-11-10,321.7004414585655,321.75813115179415,317.22931417120816,318.075439453125,25500900
2021-11-11,318.50815807964443,320.93121335247633,317.79663226365136,319.64276123046875,16849800
2021-11-12,321.07553803298856,324.25821413587914,320.9505338822416,323.767822265625,23831000
2021-11-15,324.5561868329157,324.88310486387337,321.1811931834564,323.1427307128906,16723000
2021-11-16,322.76774755560007,327.5658224885891,322.6043031971898,326.450439453125,20886800
2021-11-17,326.4985198392835,329.6292219748661,325.59302210058706,326.6719055175781,19053400
2021-11-18,325.7664999341988,329.87978087178396,324.74541145445266,328.7430725097656,22463500
2021-11-19,330.0628138404935,332.4325070081749,329.63896245799737,330.5155334472656,21963400
2021-11-22,331.9700783843757,336.83472639710845,327.08617509182903,327.35589599609375,31031100
2021-11-23,324.67797163532214,326.9898989068096,321.31608766747587,325.28485107421875,30427600
2021-11-24,323.9362057016911,325.7472014512142,321.65320573565054,325.5063781738281,21661300
2021-11-26,322.07705238453224,325.5256287318422,316.0757258160542,317.5784606933594,24217200
2021-11-29,322.6453783318279,326.58524340078264,322.4527079617969,324.2733459472656,28563500
2021-11-30,323.01143434180807,325.38112702645924,316.9137728395476,318.4550476074219,42885600
2021-12-01,322.82845444512645,326.82611534101443,317.29916089070014,317.96380615234375,33337600
2021-12-02,318.1756812750894,321.2485884430419,315.76744866054173,317.3954162597656,30766000
2021-12-03,319.8036737217345,320.48763300351385,306.3561099885442,311.1533203125,41779300
2021-12-06,312.05887669946657,315.43040325384777,307.51213114166296,314.2166442871094,30032600
2021-12-07,319.46655926353213,323.47383295914125,317.98307955857507,322.62615966796875,31021900
2021-12-08,323.00192420413254,323.1849523113305,318.6574613396701,322.6744079589844,24761000
2021-12-09,322.1348363640117,324.1384729979598,319.92888702095325,320.8729248046875,22214200
2021-12-10,322.68390724843727,330.40950670555475,322.50087922237924,329.9664001464844,38095700
2021-12-13,328.17463366758005,331.1704900151728,326.63335907507167,326.9416198730469,28899400
2021-12-14,320.9885647798209,322.35645407358095,312.2129483454999,316.2876892089844,44438700
2021-12-15,316.54772931653724,322.8862143337398,312.5886088133381,322.36602783203125,35381100
2021-12-16,323.38713456911813,324.3986100132093,311.16294216598374,312.97393798828125,35034800
2021-12-17,309.10144665260225,312.9931584037919,305.6046885387923,311.91424560546875,47750300
2021-12-20,308.30192948085835,310.95098537340476,305.9129815266249,308.1670837402344,28326500
2021-12-21,311.42301196127266,315.7000353671043,308.061099295699,315.27618408203125,24740600
2021-12-22,316.24913921677904,321.36422365049356,313.7927533668709,320.96929931640625,24831500
2021-12-23,320.5357805584728,324.04218156998655,320.5165252794348,322.4045715332031,19617800
2021-12-27,323.146261644818,329.90859732114507,323.1173640307042,329.87969970703125,19947000
2021-12-28,330.5540058070814,331.18978275080303,327.827899397402,328.7237548828125,15661500
2021-12-29,328.7719682057402,331.6618479007126,327.21143787403537,329.39813232421875,15042000
2021-12-30,329.35964189367326,330.53486098892296,326.3830688879118,326.8647155761719,15994500
2021-12-31,326.0843148981623,326.90309041033254,323.52195205286245,323.9747009277344,18000800
2022-01-03,323.0403535774783,325.59307446526094,317.67480384527,322.4623718261719,28865100
